TIMESTAMP,STATION,PRESSUREAVG,TEMP2MAVG,TEMP10MAVG,RELHUM2MAVG,VPDEFAVG,PRECIP,SRAVG,SR,WSPD2MAVG,SOILTMP5AVG655,SOILTMP10AVG655,SOILTMP20AVG655,SOILTMP50AVG655,VWC5CM,VWC10CM,VWC20CM,VWC50CM,PRECIP2
2019-01-03T21:00:00Z,Lane,91.4,-4.76,-2.7,83.28,0.07,0,0,0,2.07,-0.3,-0.11,0.46,2.57,0.1075,0.1523,0.3928,0.416,NA
2019-01-03T22:00:00Z,Lane,91.39,-5.25,-4.1,86.19,0.06,0,0,0,2.39,-0.27,-0.09,0.47,2.56,0.1083,0.1533,0.3928,0.416,NA
2019-01-03T23:00:00Z,Lane,91.36,-5.61,-4.47,84.21,0.06,0,0,0,2.86,-0.24,-0.08,0.47,2.55,0.109,0.1541,0.3928,0.416,NA
2019-01-04T00:00:00Z,Lane,91.33,-5.14,-4.26,78.68,0.09,0,0,0,3.39,-0.23,-0.07,0.47,2.54,0.1088,0.155,0.3924,0.416,NA
2019-01-04T01:00:00Z,Lane,91.29,-5.21,-4.29,77.62,0.09,0,0,0,3.36,-0.24,-0.06,0.46,2.53,0.10780000000000001,0.1559,0.3922,0.4157,NA
2019-01-04T02:00:00Z,Lane,91.28,-5.37,-4.14,76.45,0.1,0,0,0,2.77,-0.27,-0.05,0.47,2.52,0.1062,0.1563,0.3922,0.4154,NA
2019-01-04T03:00:00Z,Lane,91.27,-5.59,-3.74,75.4,0.1,0,0,0,2.9,-0.33,-0.05,0.47,2.51,0.1045,0.1568,0.3922,0.4154,NA
2019-01-04T04:00:00Z,Lane,91.26,-6.42,-4.77,78.02,0.08,0,0,0,2.31,-0.43,-0.05,0.47,2.51,0.1029,0.1562,0.3922,0.4155,NA
2019-01-04T05:00:00Z,Lane,91.25,-5.05,-3.24,76.02,0.1,0,0,0,2.39,-0.53,-0.07,0.46,2.51,0.1015,0.1555,0.3922,0.4155,NA
2019-01-04T06:00:00Z,Lane,91.24,-4.05,-3.28,75.83,0.11,0,0.01,0,2.9,-0.64,-0.09,0.47,2.49,0.1003,0.1545,0.3918,0.4155,NA
2019-01-04T07:00:00Z,Lane,91.28,-4,-3.04,77.59,0.1,0,0,0,2.84,-0.73,-0.13,0.46,2.49,0.0996,0.1533,0.3916,0.4155,NA
2019-01-04T08:00:00Z,Lane,91.32,-4.96,-3.77,80.06,0.08,0,1.3,0,1.61,-0.81,-0.15,0.46,2.49,0.099,0.1521,0.3917,0.4155,NA
2019-01-04T09:00:00Z,Lane,91.39,-4.86,-3.63,79.83,0.09,0,78.27,0.28,1.91,-0.88,-0.2,0.46,2.48,0.0986,0.1509,0.3917,0.4152,NA
2019-01-04T10:00:00Z,Lane,91.46,-2.32,-2.04,75.08,0.13,0,236.48,0.85,2.55,-0.93,-0.23,0.45,2.47,0.0982,0.1499,0.3916,0.4149,NA
2019-01-04T11:00:00Z,Lane,91.5,0.77,0.72,69.63,0.2,0,386.32,1.39,2.99,-0.87,-0.26,0.44,2.46,0.0989,0.1495,0.3911,0.4149,NA
2019-01-04T12:00:00Z,Lane,91.46,3.07,2.73,67.23,0.25,0,492.76,1.77,3.51,-0.75,-0.25,0.44,2.46,0.1001,0.1495,0.3911,0.4149,NA
2019-01-04T13:00:00Z,Lane,91.41,3.41,3.33,69.31,0.24,0,542.69,1.95,3.48,-0.63,-0.23,0.43,2.45,0.1016,0.15,0.3912,0.4149,NA
2019-01-04T14:00:00Z,Lane,91.37,4.35,4.44,68.57,0.26,0,532.61,1.92,2.86,-0.53,-0.2,0.43,2.44,0.103,0.1506,0.3917,0.4149,NA
2019-01-04T15:00:00Z,Lane,91.36,5.55,5.53,66.9,0.3,0,465.2,1.67,2.4,-0.46,-0.18,0.42,2.44,0.1043,0.1514,0.3917,0.4149,NA
2019-01-04T16:00:00Z,Lane,91.34,6.46,6.43,65.58,0.33,0,344.88,1.24,2.24,-0.39,-0.15,0.42,2.43,0.1069,0.1523,0.3912,0.4146,NA
